1,88
1,51
1,76
2,60
2,18
2,47
2,90
3,75
4,78
5,84
5,33
6,48
7,49
7,60
7,9
7,99
8,20
8,74
9,20
9,70
9,10
10,33
11,17
11,31
11,61
12,19
13,76
14,63
14,69
15,75
15,22
15,68
16,75
16,46
16,4
16,28
17,100
18,84
19,46
19,38
20,24
20,89
20,99
20,16
21,52
21,28
22,56
22,31
22,68
23,48
23,67
24,81
25,95
26,76
26,43
27,22
27,12
28,4
28,89
28,58
29,63
29,2
29,76
30,2
30,45
31,96
31,100
31,98
31,43
32,66
32,55
32,14
32,73
33,7
33,76
34,69
34,50
34,8
35,59
35,97
35,24
36,55
37,14
38,41
38,15
39,83
40,37
40,48
40,95
41,77
41,55
42,88
42,20
42,43
42,96
43,95
43,64
43,96
43,74
44,3
44,89
44,92
44,88
45,40
46,88
46,67
46,95
46,55
47,18
47,9
47,30
47,3
48,15
48,3
48,54
49,19
50,43
51,37
52,51
52,29
52,83
52,11
53,88
53,87
53,50
54,99
54,68
54,89
55,58
55,2
56,52
56,12
57,23
57,68
57,79
57,52
58,98
58,8
59,3
60,72
61,30
61,83
61,2
61,52
62,94
62,68
62,63
63,24
63,78
63,38
64,91
64,27
64,68
65,61
65,72
66,76
66,71
67,22
68,58
68,26
68,65
68,55
69,33
69,66
69,71
69,4
71,70
71,8
71,48
71,49
72,15
72,90
73,21
73,54
73,80
74,66
74,12
74,53
75,86
75,76
75,56
75,57
76,3
76,77
76,89
77,11
78,91
78,55
79,68
79,40
79,34
80,41
80,84
81,12
82,73
82,84
82,64
83,47
84,59
85,63
85,21
86,98
86,92
86,70
87,11
87,71
87,13
87,65
88,36
88,42
88,2
89,83
90,15
90,40
90,39
91,74
91,100
92,15
92,26
92,63
92,99
93,2
93,56
94,59
94,24
95,81
95,80
95,98
96,81
97,41
97,99
97,2
97,59
98,88
98,20
99,30
100,19
